/home/luis/PycharmProjects/chameleon_cluster/venv/bin/python /home/luis/PycharmProjects/chameleon_cluster/main.py
Building kNN graph (k = 6)...
100%|██████████| 32/32 [00:00<00:00, 1877.38it/s]
Begin clustering...
%fs 3.5200000274926424e-06
%fs 5.7344000786542894e-05
%fs 1.440000021830201e-06
%fs 1.5360000543296336e-06
%fs 5.4976001381874084e-05
%fs 5.2512001246213915e-05
%fs 5.113599821925163e-05
%fs 4.931199923157692e-05
%fs 1.4720000326633453e-06
%fs 4.736000206321478e-06
%fs 5.696000158786774e-05
%fs 3.5200000274926424e-06
%fs 1.4720000326633453e-06
%fs 5.491200089454651e-05
%fs 5.984000116586685e-05
%fs 5.9776000678539275e-05
%fs 1.4720000326633453e-06
%fs 2.495999913662672e-06
%fs 6.214400008320809e-05
%fs 2.4000001139938832e-06
%fs 2.655999967828393e-06
%fs 6.332799792289734e-05
%fs 5.030399933457375e-05
%fs 1.5360000543296336e-06
%fs 1.5360000543296336e-06
%fs 5.580800026655197e-05
%fs 5.350400134921074e-05
%fs 1.5360000543296336e-06
%fs 1.567999948747456e-06
%fs 5.737600103020668e-05
%fs 1.6319999704137446e-06
%fs 1.4720000326633453e-06
%fs 5.536000058054924e-05
%fs 6.815999746322632e-05
%fs 5.270399898290634e-05
%fs 5.536000058054924e-05
%fs 1.5360000543296336e-06
%fs 1.5360000543296336e-06
%fs 5.462399870157242e-05
%fs 1.567999948747456e-06
%fs 1.5040000434964896e-06
%fs 5.260799825191498e-05
%fs 5.632000043988228e-05
%fs 5.552000179886818e-05
%fs 9.056000038981438e-06
%fs 1.440000021830201e-06
%fs 5.843200162053108e-05
%fs 1.5040000434964896e-06
%fs 1.440000021830201e-06
%fs 5.35999983549118e-05
%fs 5.740800127387047e-05
%fs 5.462399870157242e-05
%fs 3.5200000274926424e-06
%fs 1.440000021830201e-06
%fs 6.169600039720535e-05
%fs 1.5360000543296336e-06
%fs 1.440000021830201e-06
%fs 5.4687999188899995e-05
%fs 5.340800061821938e-05
%fs 5.756799876689911e-05
%fs 5.689600110054016e-05
%fs 1.5040000434964896e-06
%fs 1.567999948747456e-06
%fs 5.9744000434875486e-05
%fs 2.5599999353289604e-06
%fs 2.3040000814944505e-06
%fs 5.491200089454651e-05
%fs 5.644800141453743e-05
%fs 5.526399984955788e-05
%fs 2.431999891996384e-06
%fs 2.463999902829528e-06
%fs 6.009599938988686e-05
%fs 2.463999902829528e-06
%fs 2.816000021994114e-06
%fs 5.89120015501976e-05
%fs 5.35999983549118e-05
%fs 5.200000107288361e-05
%fs 2.5919999461621047e-06
%fs 2.4000001139938832e-06
%fs 5.7087998837232594e-05
%fs 2.816000021994114e-06
%fs 2.495999913662672e-06
%fs 5.35999983549118e-05
%fs 6.057599931955338e-05
%fs 5.2512001246213915e-05
%fs 2.368000103160739e-06
%fs 2.495999913662672e-06
%fs 5.648000165820122e-05
%fs 2.431999891996384e-06
%fs 2.5919999461621047e-06
%fs 5.6127998977899554e-05
%fs 5.452800169587135e-05
%fs 5.100800096988678e-05
%fs 2.368000103160739e-06
%fs 2.4000001139938832e-06
%fs 5.689600110054016e-05
%fs 2.495999913662672e-06
%fs 2.3040000814944505e-06
%fs 6.319999694824218e-05
%fs 5.3440000861883166e-05
%fs 5.382400006055832e-05
%fs 5.25440014898777e-05
%fs 2.816000021994114e-06
%fs 2.7520000003278255e-06
%fs 5.539200082421303e-05
%fs 2.687999978661537e-06
%fs 2.3040000814944505e-06
%fs 5.673599988222122e-05
%fs 6.547199934720993e-05
%fs 5.548800155520439e-05
%fs 2.7520000003278255e-06
%fs 2.9440000653266907e-06
%fs 6.057599931955338e-05
%fs 2.495999913662672e-06
%fs 2.4000001139938832e-06
%fs 5.3952001035213474e-05
%fs 5.126399919390679e-05
%fs 5.379199981689453e-05
%fs 5.3920000791549686e-05
%fs 5.750399827957154e-05
%fs 5.580800026655197e-05
%fs 2.527999924495816e-06
%fs 2.3040000814944505e-06
%fs 5.9296000748872755e-05
%fs 2.7520000003278255e-06
